Num Epoch;Time;Training error;Training accuracy;Validation error;Validation accuracy
1;194.63782787322998;0.909446022727;0.0905539772727;0.9132;0.0868
2;127.46495199203491;0.909446022727;0.0905539772727;0.9132;0.0868
3;119.4457049369812;0.905184659091;0.0948153409091;0.9132;0.0868
4;120.41197204589844;0.855823863636;0.144176136364;0.9132;0.0868
5;121.20824098587036;0.823508522727;0.176491477273;0.9132;0.0868
6;189.33669590950012;0.884588068182;0.115411931818;0.904;0.096
7;125.14677000045776;0.898792613636;0.101207386364;0.904;0.096
8;127.70225596427917;0.90234375;0.09765625;0.904;0.096
9;123.62498092651367;0.892755681818;0.107244318182;0.904;0.096
10;129.91651105880737;0.88671875;0.11328125;0.904;0.096
11;187.44152092933655;0.900568181818;0.0994318181818;0.905;0.095
12;127.31257581710815;0.885298295455;0.114701704545;0.905;0.095
13;118.38743901252747;0.893465909091;0.106534090909;0.905;0.095
14;123.43194484710693;0.900923295455;0.0990767045455;0.905;0.095
15;125.81328701972961;0.881747159091;0.118252840909;0.905;0.095
16;184.69179797172546;0.887428977273;0.112571022727;0.8874;0.1126
