Num Epoch;Time;Training error;Training accuracy;Validation error;Validation accuracy
1;78.6726279258728;0.907087053571;0.0929129464286;0.9132;0.0868
2;55.97662878036499;0.907087053571;0.0929129464286;0.9132;0.0868
3;57.25206685066223;0.907087053571;0.0929129464286;0.9132;0.0868
4;59.32677507400513;0.907087053571;0.0929129464286;0.9132;0.0868
5;60.60097599029541;0.894810267857;0.105189732143;0.9132;0.0868
6;78.90915107727051;0.874441964286;0.125558035714;0.8512;0.1488
7;56.48273301124573;0.83984375;0.16015625;0.8512;0.1488
8;76.79472303390503;0.837890625;0.162109375;0.8512;0.1488
9;70.86751699447632;0.838727678571;0.161272321429;0.8512;0.1488
10;57.07810115814209;0.832310267857;0.167689732143;0.8512;0.1488
11;79.64510297775269;0.825613839286;0.174386160714;0.8332;0.1668
12;58.35285806655884;0.818359375;0.181640625;0.8332;0.1668
13;58.466506004333496;0.821149553571;0.178850446429;0.8332;0.1668
14;56.995665073394775;0.801897321429;0.198102678571;0.8332;0.1668
15;56.72000789642334;0.809709821429;0.190290178571;0.8332;0.1668
16;76.68850612640381;0.820033482143;0.179966517857;0.8154;0.1846
