Num Epoch;Time;Training error;Training accuracy;Validation error;Validation accuracy
1;119.63402104377747;0.850460737179;0.149539262821;0.801;0.199
2;107.4647798538208;0.730068108974;0.269931891026;0.801;0.199
3;113.60605216026306;0.680989583333;0.319010416667;0.801;0.199
4;107.2537169456482;0.636117788462;0.363882211538;0.801;0.199
5;104.73542499542236;0.609875801282;0.390124198718;0.801;0.199
6;114.06017804145813;0.590344551282;0.409655448718;0.801;0.199
7;107.77083897590637;0.577524038462;0.422475961538;0.801;0.199
8;126.90413093566895;0.562299679487;0.437700320513;0.5398;0.4602
9;120.72649621963501;0.554387019231;0.445612980769;0.5398;0.4602
10;105.38358402252197;0.552383814103;0.447616185897;0.5398;0.4602
11;108.50964307785034;0.551382211538;0.448617788462;0.5398;0.4602
12;105.29138684272766;0.55078125;0.44921875;0.5398;0.4602
13;112.24227786064148;0.546574519231;0.453425480769;0.5398;0.4602
14;107.45646286010742;0.544270833333;0.455729166667;0.5398;0.4602
15;122.64535093307495;0.541766826923;0.458233173077;0.5194;0.4806
16;108.61144495010376;0.541866987179;0.458133012821;0.5194;0.4806
17;110.67411398887634;0.533954326923;0.466045673077;0.5194;0.4806
18;108.0782401561737;0.531450320513;0.468549679487;0.5194;0.4806
