Num Epoch;Time;Training loss;Validation loss
1;86.79536747932434;0.397331291879;0.369476596514
2;83.13748145103455;0.356543295913;0.369476596514
3;86.43308663368225;0.230492427393;0.208473488688
4;83.18353486061096;0.215709262424;0.208473488688
5;85.41767954826355;0.213602835381;0.205599064628
6;83.1023600101471;0.212239939857;0.205599064628
7;86.45933246612549;0.21266924783;0.206729059418
8;83.27438545227051;0.212183353526;0.206729059418
9;86.67946553230286;0.210283072458;0.202833121022
10;83.40553402900696;0.20757823741;0.202833121022
11;86.73381471633911;0.204333930104;0.196407899261
12;83.31226229667664;0.198337525129;0.196407899261
13;85.35935497283936;0.17887965507;0.161176159978
14;83.10948300361633;0.164350070335;0.161176159978
15;85.8863513469696;0.155951891232;0.141451771061
16;82.59750485420227;0.14917809323;0.141451771061
17;86.07641839981079;0.140565973741;0.130882625779
18;83.18253493309021;0.135272004538;0.130882625779
19;86.56776547431946;0.130778957848;0.118912001451
20;83.1928300857544;0.126988409846;0.118912001451
21;86.44765281677246;0.123768512298;0.114337749779
22;83.15251612663269;0.122280065108;0.114337749779
23;86.44502758979797;0.118295631751;0.10850332429
24;83.43928337097168;0.116107611193;0.10850332429
25;86.63635659217834;0.116687424205;0.105630988876
26;83.29427194595337;0.112933545201;0.105630988876
27;86.45268034934998;0.111692996213;0.102674968541
28;82.82864880561829;0.110578799965;0.102674968541
29;86.14898443222046;0.109950598467;0.102522328496
30;82.81624913215637;0.108326318363;0.102522328496
31;86.08561682701111;0.107410090113;0.0990896473328
32;82.83180046081543;0.106946636957;0.0990896473328
33;85.00222134590149;0.106275420498;0.10161943237
34;82.85601210594177;0.105924680553;0.10161943237
35;86.10112881660461;0.104932277015;0.0974594304959
36;82.80769205093384;0.104207979584;0.0974594304959
37;85.0671615600586;0.104170566632;0.0974895432591
38;82.75374817848206;0.103554466532;0.0974895432591
39;85.58878350257874;0.103331702175;0.0976266041398
40;83.36570286750793;0.102728693022;0.0976266041398
41;86.44100856781006;0.102428896836;0.0963308488329
42;82.78336668014526;0.101970915993;0.0963308488329
43;86.08409094810486;0.10149282493;0.0961554696163
44;82.74936199188232;0.101438391264;0.0961554696163
45;86.09255838394165;0.101050349573;0.0961022848884
46;82.79918932914734;0.100670936207;0.0961022848884
47;86.10940074920654;0.100405350603;0.0952823286255
48;82.80745673179626;0.100155342508;0.0952823286255
49;86.08669209480286;0.100135744998;0.0946879759431
50;82.6933240890503;0.0998858602511;0.0946879759431
51;85.03402328491211;0.0995504141406;0.0950776239236
52;82.86219525337219;0.099277621894;0.0950776239236
53;86.11841130256653;0.099075736547;0.0936499238014
54;82.82954502105713;0.0990863409307;0.0936499238014
55;85.06245136260986;0.0988498539836;0.0940046384931
56;82.79979825019836;0.0984663698408;0.0940046384931
57;86.1465630531311;0.0982859832821;0.0932179391384
58;82.74161744117737;0.0982193819903;0.0932179391384
59;85.07742118835449;0.0980366026914;0.0937233964602
60;82.75417804718018;0.097872512484;0.0937233964602
61;85.05078101158142;0.097638728442;0.0935689136386
62;82.84525227546692;0.0974752994047;0.0935689136386
63;86.13626337051392;0.0976016918818;0.0920780996482
64;82.79562830924988;0.0972772530384;0.0920780996482
65;84.90051174163818;0.0971189847699;0.0924284706513
66;82.85029888153076;0.0970823477816;0.0924284706513
67;86.09902453422546;0.0969035702723;0.0915569687883
68;82.63594889640808;0.0968330833647;0.0915569687883
69;84.83427262306213;0.0967449739023;0.0914601062735
70;82.59916019439697;0.0965874366186;0.0914601062735
71;84.84175300598145;0.0964220712582;0.0916971340775
72;82.62637829780579;0.0965873022322;0.0916971340775
73;86.42058563232422;0.096405779046;0.0913132950664
74;83.15529084205627;0.0962120054497;0.0913132950664
75;86.48134136199951;0.0960867934757;0.0912086988489
76;83.0700831413269;0.0959856482568;0.0912086988489
77;86.50422739982605;0.095885987911;0.0911355564992
78;83.21701288223267;0.0959015328575;0.0911355564992
79;85.40450739860535;0.0959251109097;0.0921349128087
80;83.14855575561523;0.0959568531425;0.0921349128087
81;85.35093784332275;0.0955501554741;0.0917915478349
82;83.16426706314087;0.095521039157;0.0917915478349
83;85.34916377067566;0.0962359698282;0.0913041383028
84;83.11834812164307;0.0955076286638;0.0913041383028
85;86.29470586776733;0.0953185108525;0.0907205790281
86;82.61563563346863;0.0955560003166;0.0907205790281
87;84.82371616363525;0.095210754761;0.0910119538506
88;82.57375383377075;0.0951137509611;0.0910119538506
89;85.88388800621033;0.0950036896048;0.0906509508689
90;82.60797214508057;0.0949547649534;0.0906509508689
91;85.87351965904236;0.0948252782778;0.0903871903817
92;82.614022731781;0.0948651424713;0.0903871903817
93;84.80540180206299;0.111762769796;0.146495809158
94;82.62494397163391;0.125989524855;0.146495809158
95;84.82788157463074;0.107392232451;0.0986374517282
96;82.61666893959045;0.102513478034;0.0986374517282
97;84.84023022651672;0.10070159783;0.0949619238575
98;82.61536145210266;0.0996746721643;0.0949619238575
99;84.8181631565094;0.0988392388379;0.0931829437613
100;82.61793732643127;0.098291742305;0.0931829437613
