Num Epoch;Time;Training error;Training accuracy;Validation error;Validation accuracy
1;178.40655994415283;0.878551136364;0.121448863636;0.8878;0.1122
2;115.53797006607056;0.871448863636;0.128551136364;0.8878;0.1122
3;115.35162901878357;0.834161931818;0.165838068182;0.8878;0.1122
4;115.24130010604858;0.875;0.125;0.8878;0.1122
5;124.98935103416443;0.890269886364;0.109730113636;0.8878;0.1122
6;120.38064098358154;0.849076704545;0.150923295455;0.8878;0.1122
7;126.61685585975647;0.8984375;0.1015625;0.8878;0.1122
8;173.3478488922119;0.873579545455;0.126420454545;0.8896;0.1104
9;130.72702479362488;0.880681818182;0.119318181818;0.8896;0.1104
10;126.56512999534607;0.854048295455;0.145951704545;0.8896;0.1104
11;122.40590596199036;0.813565340909;0.186434659091;0.8896;0.1104
12;116.41364097595215;0.835227272727;0.164772727273;0.8896;0.1104
13;115.534353017807;0.824573863636;0.175426136364;0.8896;0.1104
14;115.27821087837219;0.819602272727;0.180397727273;0.8896;0.1104
15;176.67112612724304;0.813920454545;0.186079545455;0.8116;0.1884
16;115.41404509544373;0.852627840909;0.147372159091;0.8116;0.1884
17;115.20820593833923;0.876775568182;0.123224431818;0.8116;0.1884
18;115.94788002967834;0.827059659091;0.172940340909;0.8116;0.1884
19;116.0714738368988;0.809303977273;0.190696022727;0.8116;0.1884
