Num Epoch;Time;Training error;Training accuracy;Validation error;Validation accuracy
1;90.10804200172424;0.899147727273;0.100852272727;0.8874;0.1126
2;68.63462090492249;0.889914772727;0.110085227273;0.8874;0.1126
3;70.86438012123108;0.871803977273;0.128196022727;0.8874;0.1126
4;68.972825050354;0.809303977273;0.190696022727;0.8874;0.1126
5;68.0957260131836;0.796875;0.203125;0.8874;0.1126
6;69.47939109802246;0.757457386364;0.242542613636;0.8874;0.1126
7;68.78103399276733;0.727272727273;0.272727272727;0.8874;0.1126
8;93.04395699501038;0.694247159091;0.305752840909;0.6574;0.3426
9;74.77053904533386;0.66796875;0.33203125;0.6574;0.3426
10;77.60351085662842;0.663352272727;0.336647727273;0.6574;0.3426
11;73.40723204612732;0.626420454545;0.373579545455;0.6574;0.3426
12;74.75816893577576;0.626775568182;0.373224431818;0.6574;0.3426
13;69.89650797843933;0.630681818182;0.369318181818;0.6574;0.3426
14;73.5971519947052;0.634588068182;0.365411931818;0.6574;0.3426
15;96.5424439907074;0.60546875;0.39453125;0.5934;0.4066
16;76.25090384483337;0.590553977273;0.409446022727;0.5934;0.4066
17;78.49392008781433;0.601917613636;0.398082386364;0.5934;0.4066
18;88.78918600082397;0.588423295455;0.411576704545;0.5934;0.4066
19;75.73278903961182;0.586292613636;0.413707386364;0.5934;0.4066
20;85.35740613937378;0.572798295455;0.427201704545;0.5934;0.4066
21;85.042484998703;0.57421875;0.42578125;0.5934;0.4066
22;102.99399709701538;0.582741477273;0.417258522727;0.5398;0.4602
23;298.11595702171326;0.561789772727;0.438210227273;0.5398;0.4602
24;494.27345514297485;0.548295454545;0.451704545455;0.5398;0.4602
25;66.20172786712646;0.574573863636;0.425426136364;0.5398;0.4602
26;65.87842798233032;0.550426136364;0.449573863636;0.5398;0.4602
27;65.7805380821228;0.553622159091;0.446377840909;0.5398;0.4602
28;65.65510201454163;0.550071022727;0.449928977273;0.5398;0.4602
29;84.31223106384277;0.547230113636;0.452769886364;0.5382;0.4618
