Num Epoch;Time;Training error;Training accuracy;Validation error;Validation accuracy
1;190.7796709537506;0.873934659091;0.126065340909;0.7794;0.2206
2;118.0987720489502;0.816761363636;0.183238636364;0.7794;0.2206
3;118.1927580833435;0.845525568182;0.154474431818;0.7794;0.2206
4;126.96179795265198;0.862926136364;0.137073863636;0.7794;0.2206
5;114.9281280040741;0.818536931818;0.181463068182;0.7794;0.2206
6;166.68058896064758;0.792613636364;0.207386363636;0.7794;0.2206
7;120.92192196846008;0.875355113636;0.124644886364;0.7794;0.2206
8;138.0155951976776;0.896661931818;0.103338068182;0.9008;0.0992
9;98.5403950214386;0.884943181818;0.115056818182;0.9008;0.0992
10;98.29960203170776;0.86328125;0.13671875;0.9008;0.0992
11;91.66350412368774;0.875355113636;0.124644886364;0.9008;0.0992
12;91.18496298789978;0.866122159091;0.133877840909;0.9008;0.0992
13;90.10437083244324;0.865056818182;0.134943181818;0.9008;0.0992
14;89.06127691268921;0.857954545455;0.142045454545;0.9008;0.0992
15;130.75939917564392;0.861150568182;0.138849431818;0.85;0.15
16;95.9138069152832;0.853693181818;0.146306818182;0.85;0.15
17;92.80600905418396;0.8515625;0.1484375;0.85;0.15
18;93.34885311126709;0.850142045455;0.149857954545;0.85;0.15
19;93.69805312156677;0.846946022727;0.153053977273;0.85;0.15
20;93.53094983100891;0.841264204545;0.158735795455;0.85;0.15
21;112.24103689193726;0.834161931818;0.165838068182;0.85;0.15
22;140.54940795898438;0.826349431818;0.173650568182;0.8298;0.1702
23;95.28772306442261;0.825284090909;0.174715909091;0.8298;0.1702
24;94.04611897468567;0.818181818182;0.181818181818;0.8298;0.1702
25;93.04983496665955;0.817826704545;0.182173295455;0.8298;0.1702
26;92.8266909122467;0.807173295455;0.192826704545;0.8298;0.1702
27;92.92213916778564;0.794034090909;0.205965909091;0.8298;0.1702
28;93.00988912582397;0.768465909091;0.231534090909;0.8298;0.1702
29;139.7805368900299;0.762428977273;0.237571022727;0.7666;0.2334
