Num Epoch;Time;Training error;Training accuracy;Validation error;Validation accuracy
1;41.3119101524353;0.24691091954;0.75308908046;0.120964240102;0.879035759898
2;26.782972812652588;0.119759738186;0.880240261814;0.120964240102;0.879035759898
3;27.156782150268555;0.119734461473;0.880265538527;0.120964240102;0.879035759898
4;26.974570989608765;0.10887744785;0.89112255215;0.120964240102;0.879035759898
5;25.932213068008423;0.100956524053;0.899043475947;0.120964240102;0.879035759898
6;40.273459911346436;0.0850049223074;0.914995077693;0.0669305236271;0.933069476373
7;29.755207061767578;0.071980097914;0.928019902086;0.0669305236271;0.933069476373
8;28.440167903900146;0.0682185238399;0.93178147616;0.0669305236271;0.933069476373
9;27.474736213684082;0.0672526873138;0.932747312686;0.0669305236271;0.933069476373
10;26.456272840499878;0.0668349563644;0.933165043636;0.0669305236271;0.933069476373
11;41.72014093399048;0.0672999148574;0.932700085143;0.0667335887612;0.933266411239
