Num Epoch;Time;Training loss;Training accuracy;Validation loss;Validation accuracy
1;257.013631105423;1.88650081997;0.275209780093;1.65344061852;0.3638671875
2;246.0908772945404;1.4333966264;0.445656105324;1.65344061852;0.3638671875
3;251.81212854385376;1.03141095627;0.627839265046;1.10721668005;0.5892578125
4;246.4950029850006;0.709444688978;0.742657696759;1.10721668005;0.5892578125
5;253.68718194961548;0.513290794635;0.80882884838;0.432940649986;0.8310546875
6;246.33000826835632;0.421822504865;0.841236255787;0.432940649986;0.8310546875
7;253.18181467056274;0.379471046781;0.853786892361;0.333275556564;0.86328125
8;246.5195508003235;0.351315673855;0.870442708333;0.333275556564;0.86328125
9;253.0064778327942;0.272324557382;0.913194444444;0.3171677351;0.8919921875
10;246.68244409561157;0.200518192792;0.942003038194;0.3171677351;0.8919921875
11;253.2677607536316;0.158629372371;0.956090856481;0.130090216547;0.965625
12;245.48220324516296;0.140355717184;0.9609375;0.130090216547;0.965625
13;251.92280054092407;0.128572462816;0.964192708333;0.130542974919;0.965625
14;247.0413224697113;0.120255579482;0.967068142361;0.130542974919;0.965625
15;253.78828859329224;0.111505019341;0.96949146412;0.117334295809;0.9720703125
16;246.5602321624756;0.101441297439;0.97290943287;0.117334295809;0.9720703125
17;251.2812819480896;0.0958865086238;0.973687065972;0.125144962221;0.968359375
18;246.16629552841187;0.0902064745487;0.975477430556;0.125144962221;0.968359375
19;252.4534068107605;0.0886753159748;0.97607421875;0.0985534861684;0.978125
20;246.11170887947083;0.088075335379;0.976110387731;0.0985534861684;0.978125
21;252.02372407913208;0.0799951897589;0.978099681713;0.13005765453;0.9720703125
22;247.57546734809875;0.0781852539146;0.978533709491;0.13005765453;0.9720703125
23;252.21753311157227;0.0786629653432;0.978063512731;0.0854897473007;0.9796875
24;245.7763614654541;0.0757498499351;0.978569878472;0.0854897473007;0.9796875
25;251.33817863464355;0.074990324676;0.97972728588;0.112446536869;0.9748046875
26;246.56989216804504;0.0680537523564;0.98193359375;0.112446536869;0.9748046875
27;253.57996892929077;0.0699188032498;0.980504918981;0.0690958291292;0.9830078125
28;247.1928527355194;0.0637444034909;0.982602719907;0.0690958291292;0.9830078125
29;253.31989669799805;0.0639929530487;0.982259114583;0.0806906949729;0.9810546875
